epoch,train_loss,val_loss
1,0.062923223990947,0.03213588884100318
2,0.07824351359158754,0.03200234753700594
3,0.07696560444310308,0.032234621870641904
4,0.08968827240169049,0.0328138723038137
5,0.062137763015925884,0.03127894646798571
6,0.0663823353126645,0.03213814529590309
7,0.07461785273626446,0.032288358469183244
8,0.06512439455837012,0.03233246539408962
9,0.07881013490259647,0.03144199252128601
10,0.06366851488128304,0.03288247607027491
11,0.06665397249162197,0.032395365989456575
12,0.06529567800462246,0.031537426992629965
13,0.05000399425625801,0.03078119334143897
14,0.07375815343111754,0.030858927701289455
15,0.09091085772961378,0.03215556687985857
16,0.06632340773940086,0.03049279358237982
17,0.04721290487796068,0.03129577920772135
18,0.07378229405730963,0.03153325055415432
19,0.0696405416354537,0.030099951351682346
20,0.06949357651174068,0.031053748369837802
21,0.08572226669639349,0.032099125689516464
22,0.05293119419366121,0.031525743069748084
23,0.07192055471241474,0.030069520696997643
24,0.05233136564493179,0.029368262303372226
25,0.035694407485425475,0.028819464426487685
26,0.05474537201225758,0.029676303422699373
27,0.05659089451655745,0.029414855347325405
28,0.0506562951952219,0.028427328541874887
29,0.06303271632641554,0.02908592843450606
30,0.06602814607322216,0.028474683702612916
31,0.060547842271626,0.027628181378046672
32,0.053625448048114775,0.027359582871819537
33,0.06959380339831114,0.028927568222085635
34,0.06970107294619084,0.025834094251816472
35,0.059213037602603436,0.025401370770608386
36,0.05223537497222423,0.02372109624557197
37,0.06868494786322117,0.024138462621097763
38,0.0519635021686554,0.023414440515140692
39,0.05372045040130615,0.02231571851298213
40,0.031025236658751964,0.021266571152955292
41,0.046641040779650214,0.0208019079019626
42,0.03074098126962781,0.02031820931782325
43,0.053538113553076985,0.020335165752718844
44,0.036369432043284175,0.019698420818895102
45,0.049028494488447906,0.0196110919273148
46,0.03634651666507125,0.019577842314417164
47,0.04849719647318125,0.019431496690958738
48,0.04249672191217542,0.01937316923091809
49,0.02687672283500433,0.019484655186533927
50,0.04514329489320516,0.019418796353663007
51,0.040708414651453494,0.0193658917521437
