model,horizon,threshold,run_id,start,end,timestamps,alerts,true_alerts,false_alerts,onsets,warned_onsets,location_hours,median_lead_minutes,onset_recall,precision,false_warnings_per_location_day,AP,ap_samples,ap_positive,prevalence
v5,15,0.315,48,202609060800,202609060810,3,0,0,0,0,0,0.0,,,,,,27,0,0.0
v5,15,0.315,49,202609060915,202609061040,18,0,0,0,0,0,11.25,,,,0.0,,162,0,0.0
v5,15,0.315,50,202609061145,202609061150,2,0,0,0,0,0,0.0,,,,,,18,0,0.0
v5,15,0.315,51,202609061420,202609061425,2,0,0,0,0,0,0.0,,,,,,18,0,0.0
v5,15,0.315,52,202609061530,202609061630,13,0,0,0,0,0,7.499999999999999,,,,0.0,,117,0,0.0
v5,15,0.315,53,202609061945,202609061945,1,0,0,0,0,0,0.0,,,,,,9,0,0.0
v5,15,0.315,54,202609062050,202609062235,22,0,0,0,0,0,14.250000000000002,,,,0.0,,198,0,0.0
v5,15,0.315,55,202609070435,202609070610,20,0,0,0,0,0,12.749999999999998,,,,0.0,,180,0,0.0
v5,15,0.315,56,202609070810,202609070815,2,0,0,0,0,0,0.0,,,,,,18,0,0.0
v5,15,0.315,57,202609071020,202609071030,3,0,0,0,0,0,0.0,,,,,,27,0,0.0
v5,15,0.315,58,202609071320,202609071325,2,0,0,0,0,0,0.0,,,,,0.5,18,1,0.05555555555555555
v5,15,0.315,59,202609071435,202609071515,9,0,0,0,0,0,4.5,,,,0.0,,81,0,0.0
v5,15,0.315,60,202609071800,202609071805,2,0,0,0,0,0,0.0,,,,,,18,0,0.0
v5,15,0.315,61,202609081035,202609081100,6,0,0,0,0,0,2.25,,,,0.0,,54,0,0.0
v5,15,0.315,62,202609081210,202609081355,22,0,0,0,0,0,14.250000000000002,,,,0.0,,198,0,0.0
v5,15,0.315,63,202609081510,202609082030,65,0,0,0,0,0,46.5,,,,0.0,,585,0,0.0
v5,15,0.315,64,202609082150,202609082310,17,0,0,0,0,0,10.5,,,,0.0,,153,0,0.0
v5,15,0.315,65,202609091320,202609091350,7,0,0,0,0,0,3.0,,,,0.0,,63,0,0.0
v5,15,0.315,66,202609091510,202609092250,93,0,0,0,0,0,67.5,,,,0.0,,837,0,0.0
v5,15,0.315,67,202609100235,202609100250,4,0,0,0,0,0,0.75,,,,0.0,,36,0,0.0
v5,15,0.315,68,202609100440,202609100615,20,0,0,0,2,0,12.749999999999998,,0.0,,0.0,0.1005326636833486,178,5,0.028089887640449437
v5,15,0.315,69,202609100720,202609100810,11,0,0,0,2,0,6.0,,0.0,,0.0,0.9622222222222222,93,10,0.10752688172043011
v5,15,0.315,70,202609100930,202609101350,53,0,0,0,1,0,37.5,,0.0,,0.0,0.14332825976661592,474,3,0.006329113924050633
v5,15,0.315,71,202609101455,202609101620,18,0,0,0,2,0,11.25,,0.0,,0.0,0.4499390456287008,154,7,0.045454545454545456
v5,15,0.315,72,202609101910,202609101935,6,0,0,0,0,0,2.25,,,,0.0,,54,0,0.0
v5,15,0.315,73,202609102040,202609102130,11,0,0,0,1,0,6.0,,0.0,,0.0,0.06018518518518519,98,3,0.030612244897959183
v5,15,0.315,74,202609102235,202609110015,21,0,0,0,0,0,13.5,,,,0.0,,189,0,0.0
v5,15,0.315,75,202609110305,202609110345,9,0,0,0,0,0,4.5,,,,0.0,,81,0,0.0
v5,15,0.315,76,202609110730,202609110810,9,0,0,0,0,0,4.5,,,,0.0,0.09401709401709402,72,2,0.027777777777777776
v5,15,0.315,77,202609111130,202609111135,2,0,0,0,0,0,0.0,,,,,,16,0,0.0
v5,15,0.315,78,202609111315,202609111315,1,0,0,0,0,0,0.0,,,,,0.2757936507936508,8,3,0.375
v5,15,0.315,79,202609112305,202609112305,1,0,0,0,0,0,0.0,,,,,,9,0,0.0
v5,15,0.315,80,202609120320,202609120325,2,0,0,0,0,0,0.0,,,,,,18,0,0.0
v5,15,0.315,81,202609121010,202609121035,6,3,1,2,3,1,2.25,5.0,0.3333333333333333,0.3333333333333333,21.333333333333332,0.6561185954568307,25,8,0.32
v5,15,0.315,82,202609131235,202609131245,3,0,0,0,0,0,0.0,,,,,,27,0,0.0
v5,15,0.315,83,202609131445,202609131450,2,0,0,0,0,0,0.0,,,,,,18,0,0.0
v5,15,0.315,84,202609140020,202609140025,2,0,0,0,0,0,0.0,,,,,0.3333333333333333,17,1,0.058823529411764705
v5,15,0.315,85,202609140315,202609140335,5,0,0,0,0,0,1.5,,,,0.0,,45,0,0.0
v5,30,0.361,0,202608260150,202608260205,4,0,0,0,0,0,0.0,,,,,,36,0,0.0
v5,30,0.361,1,202608260710,202608260800,11,0,0,0,0,0,3.7499999999999996,,,,0.0,,99,0,0.0
v5,30,0.361,2,202608261005,202608261405,49,8,6,2,18,6,32.25,10.0,0.3333333333333333,0.75,1.4883720930232558,0.6903865685011776,320,114,0.35625
v5,30,0.361,3,202608261540,202608261550,3,0,0,0,0,0,0.0,,,,,0.13094202898550725,25,4,0.16
v5,30,0.361,4,202608261710,202608270050,93,0,0,0,3,0,65.25,,0.0,,0.0,0.17143703854384437,776,10,0.01288659793814433
v5,30,0.361,5,202608270400,202608270515,16,0,0,0,0,0,7.499999999999999,,,,0.0,,144,0,0.0
v5,30,0.361,6,202608270745,202608271855,135,4,4,0,12,4,96.75,10.0,0.3333333333333333,1.0,0.0,0.4000542523880555,1175,57,0.04851063829787234
v5,30,0.361,7,202608272205,202608272215,3,0,0,0,0,0,0.0,,,,,,27,0,0.0
v5,30,0.361,8,202608272320,202608280025,14,0,0,0,0,0,6.0,,,,0.0,0.018206854345165238,125,2,0.016
v5,30,0.361,9,202608280805,202608280855,11,0,0,0,0,0,3.7499999999999996,,,,0.0,,99,0,0.0
v5,30,0.361,10,202608281000,202608281110,15,0,0,0,0,0,6.75,,,,0.0,0.058823529411764705,135,1,0.007407407407407408
v5,30,0.361,11,202608281425,202608281430,2,0,0,0,0,0,0.0,,,,,,18,0,0.0
v5,30,0.361,12,202608281610,202608281620,3,0,0,0,0,0,0.0,,,,,,27,0,0.0
v5,30,0.361,13,202608281725,202608281940,28,0,0,0,0,0,16.5,,,,0.0,,252,0,0.0
v5,30,0.361,14,202608301535,202608301800,30,0,0,0,0,0,18.0,,,,0.0,,270,0,0.0
v5,30,0.361,15,202608310020,202608310215,24,0,0,0,0,0,13.5,,,,0.0,,216,0,0.0
v5,30,0.361,16,202608311010,202608311110,13,0,0,0,0,0,5.25,,,,0.0,0.07702702702702703,110,2,0.01818181818181818
v5,30,0.361,17,202608311215,202608311255,9,0,0,0,0,0,2.25,,,,0.0,,81,0,0.0
v5,30,0.361,18,202608311400,202608311420,5,0,0,0,0,0,0.0,,,,,,45,0,0.0
v5,30,0.361,19,202608311700,202608311800,13,0,0,0,0,0,5.25,,,,0.0,,117,0,0.0
v5,30,0.361,20,202608312115,202608312240,18,0,0,0,0,0,9.0,,,,0.0,,162,0,0.0
v5,30,0.361,21,202608312345,202608312345,1,0,0,0,0,0,0.0,,,,,,9,0,0.0
v5,30,0.361,22,202609010050,202609010130,9,0,0,0,0,0,2.25,,,,0.0,,81,0,0.0
v5,30,0.361,23,202609010445,202609010445,1,0,0,0,0,0,0.0,,,,,,9,0,0.0
v5,30,0.361,24,202609010650,202609010655,2,0,0,0,0,0,0.0,,,,,,18,0,0.0
v5,30,0.361,25,202609011020,202609011055,8,0,0,0,0,0,1.5,,,,0.0,0.021532091097308487,72,2,0.027777777777777776
v5,30,0.361,26,202609011200,202609011340,21,4,1,3,2,1,11.25,15.0,0.5,0.25,6.4,0.24036321912383032,184,12,0.06521739130434782
v5,30,0.361,27,202609012020,202609012030,3,0,0,0,0,0,0.0,,,,,,27,0,0.0
v5,30,0.361,28,202609012345,202609020035,11,0,0,0,0,0,3.7499999999999996,,,,0.0,,99,0,0.0
v5,30,0.361,29,202609020440,202609020845,50,0,0,0,0,0,33.0,,,,0.0,0.002898550724637681,450,1,0.0022222222222222222
v5,30,0.361,30,202609021055,202609021325,31,1,1,0,5,1,18.75,10.0,0.2,1.0,0.0,0.6434222209204943,263,30,0.11406844106463879
v5,30,0.361,31,202609021525,202609021705,21,0,0,0,0,0,11.25,,,,0.0,,189,0,0.0
v5,30,0.361,32,202609021850,202609021910,5,0,0,0,0,0,0.0,,,,,,45,0,0.0
v5,30,0.361,33,202609022015,202609022110,12,0,0,0,0,0,4.5,,,,0.0,,108,0,0.0
v5,30,0.361,34,202609022215,202609022310,12,0,0,0,0,0,4.5,,,,0.0,,108,0,0.0
v5,30,0.361,35,202609030015,202609030055,9,0,0,0,0,0,2.25,,,,0.0,,81,0,0.0
v5,30,0.361,36,202609030445,202609030445,1,0,0,0,0,0,0.0,,,,,,9,0,0.0
v5,30,0.361,37,202609030755,202609031205,51,0,0,0,0,0,33.75,,,,0.0,,459,0,0.0
v5,30,0.361,38,202609031855,202609040020,66,0,0,0,0,0,45.0,,,,0.0,,594,0,0.0
v5,30,0.361,39,202609040205,202609040205,1,0,0,0,0,0,0.0,,,,,,9,0,0.0
v5,30,0.361,40,202609040445,202609040630,22,0,0,0,0,0,12.0,,,,0.0,,198,0,0.0
v5,30,0.361,41,202609040805,202609040810,2,0,0,0,0,0,0.0,,,,,,18,0,0.0
v5,30,0.361,42,202609051450,202609051530,9,0,0,0,0,0,2.25,,,,0.0,,81,0,0.0
v5,30,0.361,43,202609051735,202609051905,19,0,0,0,0,0,9.75,,,,0.0,,171,0,0.0
v5,30,0.361,44,202609052100,202609052315,28,0,0,0,5,0,16.5,,0.0,,0.0,0.17112571450903075,241,18,0.07468879668049792
v5,30,0.361,45,202609060100,202609060155,12,0,0,0,0,0,4.5,,,,0.0,,108,0,0.0
v5,30,0.361,46,202609060535,202609060550,4,0,0,0,0,0,0.0,,,,,,36,0,0.0
v5,30,0.361,47,202609060655,202609060655,1,0,0,0,0,0,0.0,,,,,,9,0,0.0
v5,30,0.361,48,202609060800,202609060810,3,0,0,0,0,0,0.0,,,,,,27,0,0.0
v5,30,0.361,49,202609060915,202609061040,18,0,0,0,0,0,9.0,,,,0.0,,162,0,0.0
v5,30,0.361,50,202609061145,202609061150,2,0,0,0,0,0,0.0,,,,,,18,0,0.0
v5,30,0.361,51,202609061420,202609061425,2,0,0,0,0,0,0.0,,,,,,18,0,0.0
v5,30,0.361,52,202609061530,202609061630,13,0,0,0,0,0,5.25,,,,0.0,,117,0,0.0
v5,30,0.361,53,202609061945,202609061945,1,0,0,0,0,0,0.0,,,,,,9,0,0.0
v5,30,0.361,54,202609062050,202609062235,22,0,0,0,0,0,12.0,,,,0.0,,198,0,0.0
v5,30,0.361,55,202609070435,202609070610,20,0,0,0,0,0,10.5,,,,0.0,,180,0,0.0
v5,30,0.361,56,202609070810,202609070815,2,0,0,0,0,0,0.0,,,,,,18,0,0.0
v5,30,0.361,57,202609071020,202609071030,3,0,0,0,0,0,0.0,,,,,,27,0,0.0
v5,30,0.361,58,202609071320,202609071325,2,0,0,0,0,0,0.0,,,,,1.0,18,2,0.1111111111111111
v5,30,0.361,59,202609071435,202609071515,9,0,0,0,0,0,2.25,,,,0.0,,81,0,0.0
v5,30,0.361,60,202609071800,202609071805,2,0,0,0,0,0,0.0,,,,,,18,0,0.0
v5,30,0.361,61,202609081035,202609081100,6,0,0,0,0,0,0.0,,,,,,54,0,0.0
v5,30,0.361,62,202609081210,202609081355,22,0,0,0,0,0,12.0,,,,0.0,,198,0,0.0
v5,30,0.361,63,202609081510,202609082030,65,0,0,0,0,0,44.25,,,,0.0,,585,0,0.0
v5,30,0.361,64,202609082150,202609082310,17,0,0,0,0,0,8.25,,,,0.0,,153,0,0.0
v5,30,0.361,65,202609091320,202609091350,7,0,0,0,0,0,0.75,,,,0.0,,63,0,0.0
v5,30,0.361,66,202609091510,202609092250,93,0,0,0,0,0,65.25,,,,0.0,,837,0,0.0
v5,30,0.361,67,202609100235,202609100250,4,0,0,0,0,0,0.0,,,,,,36,0,0.0
v5,30,0.361,68,202609100440,202609100615,20,0,0,0,1,0,10.5,,0.0,,0.0,0.3015231681898349,178,9,0.05056179775280899
v5,30,0.361,69,202609100720,202609100810,11,0,0,0,2,0,3.7499999999999996,,0.0,,0.0,0.7871897546897546,93,16,0.17204301075268819
v5,30,0.361,70,202609100930,202609101350,53,0,0,0,1,0,35.25,,0.0,,0.0,0.3232187534868969,474,7,0.014767932489451477
v5,30,0.361,71,202609101455,202609101620,18,0,0,0,2,0,9.0,,0.0,,0.0,0.5285260545976729,154,13,0.08441558441558442
v5,30,0.361,72,202609101910,202609101935,6,0,0,0,0,0,0.0,,,,,,54,0,0.0
v5,30,0.361,73,202609102040,202609102130,11,0,0,0,0,0,3.7499999999999996,,,,0.0,0.25159793961125815,98,5,0.05102040816326531
v5,30,0.361,74,202609102235,202609110015,21,0,0,0,0,0,11.25,,,,0.0,,189,0,0.0
v5,30,0.361,75,202609110305,202609110345,9,0,0,0,0,0,2.25,,,,0.0,,81,0,0.0
v5,30,0.361,76,202609110730,202609110810,9,0,0,0,0,0,2.25,,,,0.0,0.27712556594544174,72,7,0.09722222222222222
v5,30,0.361,77,202609111130,202609111135,2,0,0,0,0,0,0.0,,,,,0.09090909090909091,16,1,0.0625
v5,30,0.361,78,202609111315,202609111315,1,0,0,0,0,0,0.0,,,,,0.2757936507936508,8,3,0.375
v5,30,0.361,79,202609112305,202609112305,1,0,0,0,0,0,0.0,,,,,,9,0,0.0
v5,30,0.361,80,202609120320,202609120325,2,0,0,0,0,0,0.0,,,,,,18,0,0.0
v5,30,0.361,81,202609121010,202609121035,6,0,0,0,0,0,0.0,,,,,0.67680571062924,25,12,0.48
v5,30,0.361,82,202609131235,202609131245,3,0,0,0,0,0,0.0,,,,,,27,0,0.0
v5,30,0.361,83,202609131445,202609131450,2,0,0,0,0,0,0.0,,,,,0.10795454545454546,18,2,0.1111111111111111
v5,30,0.361,84,202609140020,202609140025,2,0,0,0,0,0,0.0,,,,,0.3333333333333333,17,1,0.058823529411764705
v5,30,0.361,85,202609140315,202609140335,5,0,0,0,0,0,0.0,,,,,,45,0,0.0
v5,60,0.301,0,202608260150,202608260205,4,0,0,0,0,0,0.0,,,,,,36,0,0.0
v5,60,0.301,1,202608260710,202608260800,11,0,0,0,0,0,0.0,,,,,,99,0,0.0
v5,60,0.301,2,202608261005,202608261405,49,9,9,0,17,9,27.749999999999996,20.0,0.5294117647058824,1.0,0.0,0.8867153554580199,320,202,0.63125
v5,60,0.301,3,202608261540,202608261550,3,0,0,0,0,0,0.0,,,,,0.6770125988359151,25,18,0.72
v5,60,0.301,4,202608261710,202608270050,93,0,0,0,2,0,60.75,,0.0,,0.0,0.1088820930168772,776,16,0.020618556701030927
v5,60,0.301,5,202608270400,202608270515,16,0,0,0,0,0,3.0,,,,0.0,,144,0,0.0
v5,60,0.301,6,202608270745,202608271855,135,6,4,2,12,4,92.25,12.5,0.3333333333333333,0.6666666666666666,0.5203252032520326,0.2753387699150376,1175,111,0.09446808510638298
v5,60,0.301,7,202608272205,202608272215,3,0,0,0,0,0,0.0,,,,,,27,0,0.0
v5,60,0.301,8,202608272320,202608280025,14,0,0,0,0,0,1.5,,,,0.0,0.04848726501378378,125,8,0.064
v5,60,0.301,9,202608280805,202608280855,11,0,0,0,0,0,0.0,,,,,,99,0,0.0
v5,60,0.301,10,202608281000,202608281110,15,0,0,0,0,0,2.25,,,,0.0,0.34869093142112095,135,19,0.14074074074074075
v5,60,0.301,11,202608281425,202608281430,2,0,0,0,0,0,0.0,,,,,,18,0,0.0
v5,60,0.301,12,202608281610,202608281620,3,0,0,0,0,0,0.0,,,,,,27,0,0.0
v5,60,0.301,13,202608281725,202608281940,28,0,0,0,0,0,12.0,,,,0.0,,252,0,0.0
v5,60,0.301,14,202608301535,202608301800,30,0,0,0,0,0,13.5,,,,0.0,,270,0,0.0
v5,60,0.301,15,202608310020,202608310215,24,0,0,0,0,0,9.0,,,,0.0,,216,0,0.0
v5,60,0.301,16,202608311010,202608311110,13,0,0,0,0,0,0.75,,,,0.0,0.06547619047619047,110,2,0.01818181818181818
v5,60,0.301,17,202608311215,202608311255,9,0,0,0,0,0,0.0,,,,,0.07814992025518341,81,3,0.037037037037037035
v5,60,0.301,18,202608311400,202608311420,5,0,0,0,0,0,0.0,,,,,,45,0,0.0
v5,60,0.301,19,202608311700,202608311800,13,0,0,0,0,0,0.75,,,,0.0,,117,0,0.0
v5,60,0.301,20,202608312115,202608312240,18,0,0,0,0,0,4.5,,,,0.0,,162,0,0.0
v5,60,0.301,21,202608312345,202608312345,1,0,0,0,0,0,0.0,,,,,,9,0,0.0
v5,60,0.301,22,202609010050,202609010130,9,0,0,0,0,0,0.0,,,,,,81,0,0.0
